N°,Nombre / Descripción, PRECIO POR UNIDAD X MAYOR,CANT. MINIMA X MAYOR, PRECIO X MAYOR,TOTAL,LINK DE PRODUCTOS
,Cuaderno Cuadriculado - Luxor,2.1,50, S/  105.00 ,,
,Compás Escolar Layconsa Plástico Con Lápiz, S/  1.69 ,12, S/  20.28 ,,https://clip.com.pe/producto/compas-de-plastico-artesco-con-lapiz-264
,Corrector Mini 4 ml, S/  0.70 ,12, S/  8.40 ,,
,Corrector Tipo Lapicero Artesco Punta Metálica, S/  1.06 ,12, S/  12.72 ,,
,Corrector Tipo Lapicero Faber Castell Punta Metálica, S/  1.14 ,12, S/  13.68 ,,
,Crayones Jumbo Artesco Estuche De Plástico X 12 Und, S/  4.77 ,6, S/  28.62 ,,https://clip.com.pe/producto/crayones-delgados-x-12-und-puppy-402
,Cuaderno Cuadriculado - Stanford, S/  5.60 ,50, S/  280.00 ,,
,Cuaderno Cuadriculado A5 chico - Justus, S/  1.82 ,25, S/  45.50 ,,
,Cuaderno Cuadrimax 1x1 - Stanford, S/  5.60 ,25, S/  140.00 ,,
,Cuaderno Cuadrimax 2x2 - Stanford, S/  5.60 ,25, S/  140.00 ,,
,Cuaderno Rayado - Justus, S/  3.50 ,50, S/  175.00 ,,
,Cuaderno Rayado - Luxor, S/  2.10 ,25, S/  52.50 ,,
,Cuaderno Rayado - Stanford, S/  5.60 ,25, S/  140.00 ,,
,Cuaderno Rayado A5 chico - Justus, S/  1.82 ,25, S/  45.50 ,,
,Cuaderno Triple kids con Sombra- Alpha, S/  5.60 ,25, S/  140.00 ,,
,Cuaderno Triple Renglón con Sombra - Justus, S/  3.50 ,50, S/  175.00 ,,
,Cuaderno Triple Renglón con Sombra - Stanford, S/  5.60 ,50, S/  280.00 ,,
E,Engrapador Artesco M-526 Azul 25 Hojas Con Sacagrapas, S/  8.21 ,3, S/  24.63 ,,https://clip.com.pe/producto/engrapador-artesco-m-526-azul-25-hojas-con-sacagrapas-28697001
,Engrapador Ove 25 Hojas Con Sacagrapas, S/  7.30 ,3, S/  21.90 ,,https://clip.com.pe/producto/engrapador-ove-25-hojas-con-sacagrapas-23473
F,Folder A-4 Tapa Transparente Colores Surtidos, S/  4.55 ,, S/  -   ,,https://clip.com.pe/producto/folder-a-4-tapa-transparente-colores-surtidos-1128
,Folder Artesco A4 Doble Tapa Con Gusano, S/  4.61 ,, S/  -   ,,https://clip.com.pe/producto/folder-artesco-a4-amarillo-doble-tapa-con-gusano-16095001
,Folder Artesco Duramax Fantasía A4 Con Fastener Surtido, S/  3.65 ,, S/  -   ,,https://clip.com.pe/producto/folder-artesco-duramax-fantasia-a4-con-fastener-surtido-268
,Forro Vinifan A4 Cristal, S/  4.50 ,18, S/  81.00 ,,
,Forro Vinifan Oficio Cristal, S/  9.00 ,5, S/  45.00 ,,
,Forro Vinifan Vinifancito A4 Cristal, S/  2.25 ,18, S/  40.50 ,,
G,Goma En Barra Artesco 21 G, S/  1.50 ,12, S/  18.00 ,,https://clip.com.pe/producto/goma-en-barra-artesco-21-g-2173
,Goma En Barra Artesco 40 G, S/  2.51 ,12, S/  30.12 ,,https://clip.com.pe/producto/goma-en-barra-artesco-40-g-3335
,Goma En Barra Artesco Neón 21 G, S/  2.02 ,12, S/  24.24 ,,
,Goma En Barra Faber Castell 40 G, S/  2.59 ,12, S/  31.08 ,,
,Goma En Barra Faber Castell Fix 21 G, S/  1.55 ,12, S/  18.60 ,,
,Grapas 26/6 X 5000 Und Artesco, S/  2.42 ,20, S/  48.40 ,,https://clip.com.pe/oficina
I,INAMBARI - Pincel,,, S/  -   ,,
,INAMBARI - Tijera Yimi 5'' Mango Naranja X 1 Und,,, S/  -   ,,https://clip.com.pe/producto/tijera-artesco-5-mango-naranja-x-1-und-1319
,Lápiz 2B Grafito Artesco Con Borrador Caja X 12 Und, S/  3.61 ,5, S/  18.05 ,,https://clip.com.pe/producto/lapiz-2b-grafito-artesco-con-borrador-caja-x-12-und-17482
,Lápiz 2B Técnico Faber Castell Sin Borrador Caja X 12 Und, S/  3.97 ,3, S/  11.91 ,,https://clip.com.pe/producto/lapiz-2b-tecnico-artesco-con-borrador-caja-x-12-und-12968
,Lápiz Hb Faber Castell Titan Con Borrador Caja X 12 Und, S/  4.62 ,5, S/  23.10 ,,https://clip.com.pe/producto/lapiz-hb-faber-castell-titan-con-borrador-caja-x-12-und-33750
,Lápiz Redondo 2B Con Borrador Con Tabla De Multiplicar X 12 Und., S/  5.03 ,3, S/  15.09 ,,
,LIBRO - Biblia,,, S/  -   ,,
,LIBRO - Constitución Politica del Perú,,, S/  -   ,,
,LIBRO - Diccionario Español,,, S/  -   ,,
,LIBRO - Diccionario Ingles,,, S/  -   ,,
,Limpiatipos Artesco Sticky Tac, S/  1.43 ,12, S/  17.16 ,,https://clip.com.pe/producto/limpiatipos-artesco-sticky-tac-2117
,Lustre color anaranjado, S/  0.18 ,100, S/  18.00 ,,https://clip.com.pe/producto/papel-lustre-naranja-5000346011
,Lustre color azul, S/  0.18 ,100, S/  18.00 ,,https://clip.com.pe/didacticos-y-manualidades/juegos-didacticos
,Lustre color blanco, S/  0.18 ,100, S/  18.00 ,,https://clip.com.pe/producto/papel-lustre-blanco-5000346004
,Lustre color celeste, S/  0.18 ,100, S/  18.00 ,,https://clip.com.pe/producto/papel-lustre-celeste-5000346005
,Lustre color lila, S/  0.18 ,100, S/  18.00 ,,https://clip.com.pe/producto/papel-lustre-lila-5000346008
,Lustre color marrón, S/  0.18 ,100, S/  18.00 ,,https://clip.com.pe/producto/papel-lustre-marron-5000346009
,Lustre color morado, S/  0.18 ,100, S/  18.00 ,,https://clip.com.pe/producto/papel-lustre-morado-5000346010
,Lustre color negro, S/  0.18 ,100, S/  18.00 ,,https://clip.com.pe/producto/papel-lustre-negro-5000346012
,Lustre color rojo, S/  0.18 ,100, S/  18.00 ,,https://clip.com.pe/producto/juego-didactico-evaflex-base-diez-multibase-surtido-6978
,Lustre color rosado, S/  0.18 ,100, S/  18.00 ,,https://clip.com.pe/producto/papel-lustre-rosado-5000346015
,Lustre color turquesa, S/  0.18 ,100, S/  18.00 ,,https://clip.com.pe/producto/papel-lustre-turquesa-5000346016
,Lustre color verde agua, S/  0.18 ,100, S/  18.00 ,,https://clip.com.pe/producto/papel-lustre-verde-agua-5000346021
,Lustre color verde oscuro, S/  0.18 ,100, S/  18.00 ,,https://clip.com.pe/producto/juego-didactico-evaflex-abaco-5363
,MAQUINA - Enmicadora,,, S/  -   ,,
,MÁQUINA - Guillotina,,, S/  -   ,,
,MAQUINA - Toner para fotocopiadora, S/  120.00 ,1, S/  120.00 ,,
M,Mica Portapapel Vinifan A4 Paquete X 10 Und, S/  4.09 ,10, S/  40.90 ,,
N,Notas Adhesivas Ove 76 X 76 Mm Colores Neón 500 Hojas,,, S/  -   ,,https://clip.com.pe/producto/notas-adhesivas-ove-76-x-76-mm-colores-neon-500-hojas-23139
,Papelógrafo Rayado 61 X 86 Cm 56 G Rollo X 50 Und, S/  0.19 ,50, S/  9.46 ,,https://clip.com.pe/producto/papelografo-rayado-61-x-86-cm-56-g-rollo-x-50-und-53871
,Papel Crepé Amarillo X 10 Unidades, S/  2.60 ,2, S/  5.20 ,,https://clip.com.pe/producto/papel-crepe-amarillo-x-10-unidades-16281001
,Papel Crepé Azul X 10 Unidades, S/  2.60 ,2, S/  5.20 ,,https://clip.com.pe/producto/papel-crepe-azul-x-10-unidades-16281002
,Papel Crepé Blanco X 10 Unidades, S/  2.60 ,2, S/  5.20 ,,https://clip.com.pe/producto/papel-crepe-blanco-x-10-unidades-16281003
,Papel Crepé Celeste X 10 Unidades, S/  2.60 ,2, S/  5.20 ,,https://clip.com.pe/producto/papel-crepe-celeste-x-10-unidades-16281004
